,context,by,when,post
10,bug,"Mar 22, 2013 @ 6:50pm",More Than One Monitor,"Is this where we post bugs/suggestions?When playing the game full screen, I\\\'ve noticed that clicking anywhere on my second monitor not only minimizes the game, but it also ""locks in"" any keyboard keys I was pressing when the game minimized. Usually that means my character has run off a cliff and died by the time I get back in. Not okay in 2013.Please either fully capture the mouse or (preferrably) don\\\'t minimize when the game loses focus. With how much the mouse is used in the game, it\\\'s far too easy to click off the screen.Also, the order of the video resolution options doesn\\\'t make any sense."
11,bug,[UGUF] Merkules,"Apr 2, 2013 @ 11:08am ","- Nak can be jumped on like a trampoline. You have to time it right, but you will eventually get so high you can kill yourself (Nak can often save you, but if you fall the entire height of say, Hanging Gardens, you\\\'re gonna die no matter what you land on).  Angle matters too, you can go really far jumping on a hill made of Nak.-Anything you build should be thought of more like carving stone, get the basic shape first, then make details if you want your structures to look cool.- If you stand on a directional trigger bomb and blast it, you will keep your second jump.  This little trick can be used to climb Red Bluffs super fast, however the camera can\\\'t follow you at that speed (watch your shadow to know when to jump, going first person helps a lot).- Rockets cannot normally be ridden if they are standing straight up.  You can also affect the flight trajectory of the rockets by bumping into them or jumping on them after a launch (they even spiral out of control just like they should).- The so called unsinkable blocks are not really unsinkable.  Just blow a bomb off on it after all the other blocks are gone and it will go crumbling down (likely a bug).- While you can only have 5 bombs out at a time that are affected by triggers, you can have infinite of all other bombs.- The trigger rocket bomb is bugged, you can only build it on the spot.  If saved as a formation, it will simply explode after some time.- Tall ice pyramids can freeze the ground around them in a radius of about 6 tiles.- Hanging Gardens is buggy, I recommend backing up saves. I\\\'ve lost three files to corruption already.- On occasion, when you select a shape, the game\\\'s framerate will suddenly drop.  If this happens, deselect the shape and select it again."
12,bug,BuildPatterns,"Oct 11, 2013 @ 3:50pm ",Just minor bug fixes. :)
13,bug, [developer],"Mar 22, 2013 @ 11:33am ","Thanks for this thread! As mentioned in our welcome thread - as genesis release users, your feedback will help shape Pattern\\xe2\\x80\\x99s evolution. Please keep the comments, screenshots, videos and your thoughts coming! Know that we are reading and paying attention to your feedback, even if we are not able to respond to every post with a comment. If you encounter a bug with the Patterns genesis release, please report it to us directly through http://www.buildpatterns.com/support so that we can investigate and address it.We\\xe2\\x80\\x99ll continue to frequently update Patterns with new features, performance improvements, bug fixes, and more, so please check in regularly to keep up to date with the latest! "
14,feature,(?),"Refund possible, since game is going kaput?","""We at Linden Lab are extremely grateful for the adventurous early players who explored the Patterns genesis release. Those who purchased the Patterns genesis release will still be able to play their copies of the game, but features relying on server connections, such as world-sharing, will not be functional."""
15,feature,"Jan 25, 2015 @ 7:36am",Lawsuit,"Since they removed features and support after burning people and running, maybe someone should look into a class action lawsuit. Linden Labs loves that stuff. They always screw with their customers and are one of the few companies that care about them."
16,feature,The Conclusion of Patterns,"Oct 9, 2014","Recently, Linden Lab announced that we are working on an ambitious project to create the next-generation virtual world[www.lindenlab.com], while we continue to improve Second Life and grow Blocksworld. As we focus on these priorities, we have ceased development for Patterns, and we will be no longer offering the game for sale.We at Linden Lab are extremely grateful for the adventurous early players who explored the Patterns genesis release. Those who purchased the Patterns genesis release will still be able to play their copies of the game, but features relying on server connections, such as world-sharing, will not be functional.Patterns had early promise, and while Linden Lab focuses our efforts on our other offerings, we are still evaluating the future of the Patterns technology. Interested parties are welcome to contact us[lindenlab.com] with proposals."
17,feature,Patterns: The New Builder Experience,"May 8, 2014","The next time you boot up Patterns, you\\\'ll find a very different experience waiting. As we\\\'ve blogged about before, Patterns has undergone a total user interface (UI) overhaul. We\\\'re proud of the new menus, buttons and mouse cursors, but the changes go much deeper than the visuals we\\\'ve teased before. The changes in today\\\'s release are about empowering creativity with powerful and intuitive tools. We\\\'re excited to get this new building experience into your hands to see what it inspires!So what does this update include that makes creation so much more powerful? Quicker BuildingSome of the most powerful new functionality is tied to the right mouse button (RMB). In the past, clicking RMB on a pattern would open the ""construct edit mode"", breaking you out of the gameworld. The new edit mode allows for the same functionality plus much more, in a less jarring way. Click once to select a single shape. Keep clicking slowly to increase the size of your selection, or double click quickly to auto-select the full object. You can probably figure out how to move your selection, but now by holding down Shift you can also clone your selection without having to save it to your inventory. Or use delete/backspace to instantly remove your selection from the gameworld. You can even use the RMB to select the terrain in a world, something not possible before, to rapidly terraform a world to fit your needs. With these tricks you\\\'ll be creating epic worlds in a fraction of the time it took before.(To see these new tricks in action, be sure to watch the latest video teaser.)Easier SharingCreativity in isolation has its virtues, but it\\\'s when you share with others that things get really interesting. Every Patterns user has access to the same set of shapes and tools out of the box, but one of the biggest factors in creativity is community. Sometimes we don\\\'t know what we are capable of until someone else helps point the way with an inspiring build. And putting your own work out there to be seen can be a powerful motivator to push your own skills. All of us on the Patterns team are fans of (and sometimes contributors to) the thriving communities around Second Life, Minecraft, LEGO and other platforms for creativity.Patterns has always offered the ability to publish your works and download others\\\' creations from the Cosmos, but we\\\'re making it easier to highlight worlds with pictures and descriptions. Every time you save a world, Patterns generates a screenshot. From the Create menu you can add a text description. Best of all, we\\\'ve removed the limit to how many worlds you can publish! If you\\\'ve published a world in the past that you\\\'re proud of, now would be a good time to update your world and republish. New Worlds to Inspire YouNext time you go to create a new world, you\\\'ll see some options that weren\\\'t there before. Alongside old favorite starting points like the ""Genesis Cube"", we\\\'ve added a few options that offer a fresh twist on how you build. ""Flatland"" and ""Chromatic Cubeworld"" launch with a new materials pack with a vast range of colors instead of the organic substances you\\\'re used to. ""Uncharted Isles"" offers an archipelago of floating cube-based islands to explore and transform. ""The Steamworks"" is an interior space with a steampunk twist to get you started. With Scene Settings, you can mix and match Materials Packs as you see fit, and with the new RMB functionality mentioned before, you can quickly delete any elements you don\\\'t want. The planetoids you\\\'ve played before are still there in the cosmos under the Featured tab, alongside a few creations that our team came up with while this update was under way. Remember to publish your best creations and maybe you\\\'ll get featured next!Foundation for a Dynamic FutureLastly, while there are a lot of changes to play with and master in the current release, we also made some necessary behind-the-scenes changes to prepare for the future. The Materials Editor, which you can play with right now, is just the first step in giving creators the power to control the settings and behavior of their worlds. We envision a future where both advanced creators working in collaboration and new players working alone will be able to add dynamic behaviors and gameplay to their worlds. We hope you\\\'ll enjoy these improvements to the Patterns building experience and look forward to seeing what new worlds you create and share to the Cosmos!"
18,feature,Patterns update 0.06,"Jan 17, 2014","Welcome to our first update of 2014. We\\xe2\\x80\\x99re happy to announce some new features such as a locked camera view, new flat worlds to build on and more power added to the Substance Editor! 2014 is going to be a busy year for us. More modding capabilities and scripting are on our roadmap. Keep sharing your creations with us on the Cosmos and check in regularly for new and updates!You can read the full list of updates below.Substance pack editor[/h1]-- New graphic properties can be modded to change the look of substances in game:Specular-  Basically the shininess of the texture.  This uses a grayscale only palette with white being the most shiny. Color images are converted to grayscale.Occlusion-  Used to map darker and lighter pixels resulting in a texture with an illusion of relief.  Brick and bonestone are good examples of this technique. This can be used to create hot spots and shadows on substances. This also uses a grayscale palette and color images will be converted.Illumination-  Enables the glow and light emission effect for materials.   Lava and moonstone are good examples of this technique.. White to black is the range with white being the most illuminating.  Default color is black.Metal-  Affects the metallic quality of a substance. The default is black with white being the most metallic.-- HD setting option doubles the texture resolution when working in the substance pack editor.    Note: This is performance intensive while in the editor. -- It is now possible to be able to define the exact number of substances you want to include in your substance pack. So if you ever wanted to just have 5 substances, you can!Save data reorganization Worlds are now saved into their own directory with world data and the lua config file. As those worlds get loaded in game a new folder for that world and its save files will be created in ""\\\\\\\\user\\\\LindenLab\\\\Patterns\\\\WorldData"".  All subsequent saves will be saved to their own subdirectory under ""WorldData""When saving we now create a screenshot of the game in view at the point of saving.  This file will be placed in the world\\xe2\\x80\\x99s directory. New Features[/b] Genesis Plane Square:  Elegant, simple, and square.    Genesis Plane Strip:  Perfect for your flat world and elongated projects.Added lock camera option to the Scene Settings. You can use this to control the use of the camera and player experience in worlds shared on the Cosmos. Bug fixing and house cleaning Removed Hypatia V due to performance issues.Fixed ""collection challenge"" bug where the challenge mode persisted across multiple worlds.Fixed the saved game time stamp bug.Fixed Multiplayer bug that prevented clients from placing saved patterns in hosted worlds.Fixed the Patterns inventory not being synced in network multiplayer.Hitting the repeat build key (the ""C"" key by default) to repeat the shape placement should now work as intended.Removed username from default save file name.Fixed not being able to \\xe2\\x80\\x9cLike\\xe2\\x80\\x9d more than one Cosmos world during a game session. "
19,feature,Release notes for Patterns version 0.05 Update 1,"Dec 13, 2013","We wanted to provide one more update to the game before we all go away for our holiday break.Today we are adding more settings that you can use to modify your worlds, along with some bug fixes. The new settings will allow you to control the lighting values, gravity settings and more!We hope you have fun with this and let us know how it is working for you.   In the new year we promise to role out more features that enable you to further mod your worlds.   Look for more updates from the Patterns dev team in 2014!Release notes for Patterns version 0.05 Update 1Substance Editor: new pack starts with sample flat color texturesChanged button in options screen from ""Substance Pack"" to ""Scene Selection""Added four categories of settings used to customizing your worlds (you can find this in the same menu where you choose a Substance pack):WorldGravity multiplierBuild gravity multiplierCreatures allowedSkyCloud on/offOther planets on/offSun and moon on/offOverride day/night cycleSky color gradient controlFog color controlFog distance settingsLightingDirect light colorDirect light intensityBounce light colorBounce light intensityAmbient light colorEffectsPost effectsSSAO blurSSAO radiusBug fixes[/h1]Cosmos log-ins no longer fail when passwords start with #Substances no longer have default pack properties with new packsFixed occasional hang at 35% when loadingFixed changing pack name and uploading problemsFixed problem where rocket bomb does not explodeFixed problem with line breaks in substance titles causing problemSubstance Packs can no longer be named Patterns as this created problems with loading default packsRemoved confusing button for saving substance pack in gameFixed sounds that play repeatedly when placing shape"
20,feature,State of the Game - Updates on the Way!,"Nov 25, 2013","It\\xe2\\x80\\x99s been some time since we\\xe2\\x80\\x99ve published an update, and we wanted to check in to let everyone know about some of the exciting features coming next for Patterns. The game has come a long way over the past year, and as we near the end of 2013, we\\xe2\\x80\\x99ve been thinking critically about the future of Patterns to help focus our development efforts. You\\xe2\\x80\\x99ll be hearing more from us as we make progress on specific projects and features, but first, we wanted to share our vision for Patterns\\xe2\\x80\\x99 future with you.Imagine Patterns as a platform not just for building worlds with shapes, but also for creating interactive experiences you can share with others. We\\xe2\\x80\\x99re going to put more creative power into your hands by allowing you to change the very things that make up Patterns itself! Lua scripting, substance editing tools, and direct access to tuning game systems are just some of the options that will be available. We\\xe2\\x80\\x99ll begin to roll out these new features over the next few weeks, and will keep you posted with our progress. The first release will be a powerful tool that will allow everyone to create substance packs and custom tune substances\\xe2\\x80\\x99 properties. If you want to make all the substances hurt the player or change the actual look of the substances themselves, you can! Getting tired of the current set of colors within our world? No problem - you\\xe2\\x80\\x99ll be able to change how every single substance looks, acts, and reacts.Another big feature we\\xe2\\x80\\x99re planning to roll out is a character creator. We appreciate the fondness that has grown around the current character, but a personal touch that only you can deliver is needed. Patterns is your universe to shape, and you should be able to create your very own personalized character to inhabit it!We also plan to provide a robust Lua scripting system for Patterns. You\\xe2\\x80\\x99ll get access to script APIs that control game variables such as lighting values and the pull of gravity. Even more functionality will come from the ability to author moving platforms and control behavior in support of a variety of gameplay types.  We\\\'re eager to get these new tools into your hands and can\\\'t wait to see the things you\\\'ll create with them! These new features will give you even more creative power in Patterns. It\\\'s important for us to get these powerful new features right, and we appreciate your patience as we develop and roll them out. We\\\'ll keep you all posted as we make progress on these and other initiatives, so you can look forward to hearing from us more.Thank you for supporting Patterns. We\\\'re really excited about the future of the game, and we hope that you all are too!"
21,feature,Release Notes for Update .04a version 67263 8/22/2013,"Aug 22, 2013","Hello Patterns Fans!It\\xe2\\x80\\x99s been awhile since our last update, but we\\xe2\\x80\\x99ve been busy fixing bugs and adding new features to Patterns. One of the new feature that we think you\\xe2\\x80\\x99ll really enjoy is what we\\xe2\\x80\\x99ve called \\xe2\\x80\\x9cEscher Gravity.\\xe2\\x80\\x9d Gravity will now no longer just pull towards the center of the planet. Now it\\xe2\\x80\\x99s based off what is below you - making a digital version of an Escher-esque painting a possibility for everyone!In addition to the new Escher Gravity, there are two new block features: Runestone signs and Lanterns! Lanterns can be made by using 4 silver tetrahedrons and one moonstone octahedron. Once built, you can turn lanterns off and on by hitting the moonstone with your beam. Detailed instructions can be found on our official wiki[patterns.gamepedia.com].Using square Runestone top tiles (the blocks that are bound to 1 on your keyboard by default), you can now leave signs for other players. Once placed, double click on the block to begin writing your message. You can scale text size by adding more blocks next to each other and experimenting!We continue to work on fixing bugs and adding new features to Patterns, and appreciate all of your feedback and support. Stay tuned for more updates!The Patterns TeamRelease Notes for Update .04a version 67263 August 22, 2013GravityUse gravity as a tool and check out the new possibilities! Can you build an Escher Staircase? Patterns gravity is now called ""Escher gravity"". Gravity no longer pulls to the center of the planet and instead is based on what\\xe2\\x80\\x99s below the player. When digging underground, down is defined by the direction one enters underground.LightingPlease check out our wiki[patterns.gamepedia.com] for detailed instructions. Patterns now uses fully dynamic lighting with light emanating from the character, lava and moonstone substances. The Lantern is a new formation which can be used to shed light on darker areas. To build it place 3 silver tetrahedrons, 1 moonstone octahedron in the center, and another silver tetrahedron on top.  Turn Lanterns on and off by hitting the moonstone shape with your beam.Runestone SignsWrite on Runestone top tiles to leave messages for other players in their worlds! To use, simply place a Runestone top tile on any square surface and double-click, then type, and hit enter. The font will shrink to fit on the cube so play around with multiple faces to write in larger Font Sizes.Camera Improved camera for digging and mining. Confined spaces will no longer be as troublesome. Transparency on the player avatar will make maneuvering through the world easier - no more blocked view!Multiplayer We\\xe2\\x80\\x99ve started using a Peer to Peer implementation to allow easier connectivity to games. Password support for private game hosting. There\\xe2\\x80\\x99s a new game lobby for hosted multiplayer games in the main menu. This will allow players to find games easily.Bug Fixes A variety of multiplayer bug fixes are in this patch due to the new Peer to Peer implementation. Main menu UI fixes and flow improvements are included. Players list is no longer available in single player games.Known Issues Previously saved planets are not set up for Escher gravity. The Lanterns are unbreakable until they are turned into free patterns. There\\xe2\\x80\\x99s still an issue with memory consumption so save often and exit the game to free up memory especially when in larger worlds. The new lighting effects on substances can cause some framerate issues if there are a lot on screen. There is a known issue that causes instability in Patterns after playing for a while.  Please restart Patterns between levels for best results."
