,context,by,when,post
10,crash,Jul 23 @ 8:44pm,game crashing on startup,every version of starting the game and its crashing on startup. can\\\'t even get to the menu. How can i fix this or can i get my money back
11,crash, 1,Aug 7 @ 8:17pm,the game keeps crashing
12,crash,harvey,Jul 28 @ 2:40pm,Game crash at launch
13,crash,Aug 7 @ 7:24pm,the game keeps crashing,  on large maps wen i try and plan a outer wall the game will crash if i drag to do a large area. and i have not built anything as i was planing so i could figure out ware to put things i tryed this multiple times. i am sure its not my computer  i\\\'m trying to renovate a cell block and the game likes to crash wen i use the dismantal object tool and has crashed twice in a row wen useing it to try and remove a shower and drain. the moble game seams alot more stable and polished?
14,crash,Muhrizzle,Aug 7 @ 8:17pm ,As of last night my game seems to crash the second i click anything. It will run fine so long as i dont touch it. Have uninstalled and reinstalled and all that jazz. Very close to getting a refund at this point.
15,crash,Valifor,Jul 26 @ 3:28am,Game crashes
16,crash,Jul 28 @ 2:40pm,Game crash at launch,"When I select Monitor 0 in fullscreen, my game is launching in windowed 1280x720 on my second screen. When I change in-game screen and resolution, my game crash with message box error on line code."
17,crash,Jun 23 @ 7:02am,Island Bound - Reported issues,"Wardens,We hope that you are enjoying the new expansion Island Bound!To keep track of all bugs and issues you are reporting, we created this list to bring back to the team. If you have experienced a bug not already in this list, please let us know in this thread.Remember to include if you are using mods (and if you do, try to disable them - as sometimes they cause issues) and how to reproduce the bug you are experiencing. Being able to recreate a bug is the first step in understanding what is wrong and how it could be fixed! :)Reported Issues:Tyre apparatus can no longer be rotated.Player (Warden) can not use ferries in Warden Mode. Staff and inmates no longer do the eating animation.Fire engine spawns if dismissing fire brigade after dismissing helicopter.The Chinese edition still has half of English words.The Rock will not catch fire or take damage no matter what material or object it is.Stepping stones/pallets interferes with the pathing when trying to create a ferry line after removed. Released prisoners remain at the prison on Island plot (no road access)Armed guards do not display their weapon correctly with free-fire OFF.Guards and armed guards pavilion deployments getting erased upon reloading a save.The Elite Ops is not contributing to Danger level or mentioned in Danger tab.The Visitor helicopter still arrives to take visitors from prison after disabling that option in logistics.Snipers no longer cycle breaks correctly and get stuck.Janitors do not clean prisons reliably.Unable to remove tunnels underneath the main road.Game crashes trying to employ Modded rooms.The labour allocation of the prisoners in the forest enterprise disappearing after reloading a saved game.The french edition still has half of English words.Kitchens are now severely under-producing enough meals.Cell-assignment of prisoners no longer working.Unable to build bridges next to other objects. Prisoners passing parole no longer give release bonus and are not counted as released prisoners. Staff showers and toilets crash the game.During the work hours, the employed prisoners will remain just standstill in the laundry and cleaning cupboard.Zone a modded room can cause the game to crash. Checkpoints are cancelling tasks when prisoners are walking close. The National Guard won\\\'t dock if helipad is missing.When an informant is on route to the security room and finally arrives, they reset and teleports back to their cell. Prisoners Clothing needs are too high after the lastest update/hotfix.Footbridges cannot be built next to each other, there needs to be a gap of 1 square vertically between each of them.Deliveries are inefficient, multiple trucks arrive with each truck delivering only a single tree for forestry."
18,crash,Grace_bannister,Jun 23 @ 8:33am ,cant load a save game iv not brought the new dlc yet but new update has crashed my game everytime i try to load my game
19,crash,meRlinX_AT,Jun 23 @ 9:47am ,"Originally posted by murgh:===CRITICAL BUG===Looks like trying to zone ANY modded room will make the game crash.No matter which mod you try.Steps to reproduce:- activating only Recycling 3.0,- starting new map with research/cheats enabled, - putting a foundation with a door,- trying to zone it as recycling room,=> instant CTD- activating only Basketball 3,- starting new map with full research/cheats enabled,- putting a full-court on the empty map,- trying to zone it as full court room,=> instant CTD- activating Sauna mod,- starting new map with resarch/cheats,- putting a foundation with a door and two sauna benches inside,- trying to zone as sauna,=> instant CTDNo other objects on the map, no other mods activated... i can confirm .. i use recycling & basketball and at loading my save; instant CTD :("
20,crash,cant load a save game iv not brought the new dlc yet but new update has crashed my game everytime i try to load my game,Jun 23 @ 8:48am,"===CRITICAL BUG===Looks like trying to zone ANY modded room will make the game crash.No matter which mod you try.Steps to reproduce:- activating only Recycling 3.0,- starting new map with research/cheats enabled, - putting a foundation with a door,- trying to zone it as recycling room,=> instant CTD- activating only Basketball 3,- starting new map with full research/cheats enabled,- putting a full-court on the empty map,- trying to zone it as full court room,=> instant CTD- activating Sauna mod,- starting new map with resarch/cheats,- putting a foundation with a door and two sauna benches inside,- trying to zone as sauna,=> instant CTDNo other objects on the map, no other mods activated..."
21,crash,Jul 26 @ 3:28am,Game crashes,I started to build new prison everything  was smooth and then game crashes I had no prisoners yet. I though it would be because I placed barbed wires so fast on the walls but it wasnt it I started the game again game ran good for like 5 minutes then I spawned in like 3 guards and game crashes again.First time I had this issue also I got an Error saying: The instruction at 0x000000014055C655 referenced memory at 0FFFFFFFFFFFFFFFF. The memory could not be read.I have no idea what is causing this please help I was building it almost 6 hours I dont wanna do it again
22,crash,#14,"Sep 29, 2019 @ 11:13am ",Dont use 32bit its legacy and will probably crash alot. The launcher doesnt turn on when you use the .exe so that error would not occur. The game doesnt need the launcher to work.The launcher itself requires Visual C++ redist to work correctly.
23,crash,#12,Sep 1 @ 11:19pm ,"Originally posted by larrymccurdy:Originally posted by Lex Looper:I got disillusioned with Paradox. ""No problem"" I thought, I\\\'ll just stop buying their damn scummy games. Then they bought this game, one of my faves, and ruined it. I wish I could refund everything Paradox has touched. Hi it seems every game has a problem i had problems with pa now i got a crashing problem with ksp and paradox dont own ksp so there you go it dosnt matter who owns it theres always a problem. PA wasn\\\'t like this before Paradox. Sure, there was few unadressed issues and undeveloped sides to the game, but for most it ran smoothly and none of this things have ruined the gameplay.  Now I simply can\\\'t enjoy my favorite game anymore. And this is the first for me, actually, because I am used to my favorite games staying the way they are, good and fun, for years. It is not like this with any other game for me, only PA after Paradox buyout. "
24,crash,Originally posted by Lex Looper:,"base game - worth itdlc - no (except prisoner transfer, thats good)","Originally posted by larrymccurdy:Originally posted by Lex Looper:I got disillusioned with Paradox. ""No problem"" I thought, I\\\'ll just stop buying their damn scummy games. Then they bought this game, one of my faves, and ruined it. I wish I could refund everything Paradox has touched. Hi it seems every game has a problem i had problems with pa now i got a crashing problem with ksp and paradox dont own ksp so there you go it dosnt matter who owns it theres always a problem. Except that PA was a feature-complete game which was virtually bug-free after release. Introversion sell it to Paradox, and then it no longer is. PA is currently unplayable for many people right now. All of my saved prisons became unviable after the first update Paradox\\\'s third-party developer applied, as due to a \\\'bug\\\' they got filled with mentally-ill prisoners that could not be dealt with unless I purchased the Psych Ward DLC. KSP for all it\\\'s jank is an excellent game that has only ever seen tremendous improvement and deserves it\\\'s user ratinng."
25,crash,RoriconKnight,Jul 2 @ 8:24am ,"uhh,this update crashed when you click exit from the main menupc spec:Windows 10AMD Ryzen 5 2500U4GB RAMAMD Radeon Vega 8"
26,crash,leahhatcher5,Jun 24 @ 3:29pm ,"I think something similar is happening to me on Windows 10. I can\\\'t access any saved games, either from the launcher or menu. It crashes before it loads the prison every time. Hopefully, there\\\'s a hotfix soon because the game is unfortunately dead right now."
27,crash,zombie-batman,Jun 25 @ 5:19pm ,Game crashes when I try to load a save.
28,crash,AlphaMalePug,Jun 25 @ 6:25pm ,"my game crashes, but im not on mac please fix my bruddahs"
29,crash,LebGOD,May 25 @ 5:24am ,Thanks  but : 1 - what about the crash when we go to the ingame name section and try to search for a name ?2 - what about an overall optimization of the game ?
30,crash,xe9\\xbb\\x91\\xe8\\x89\\xb2\\xe5\\xb9\\xbd\\xe9\\xbb\\x98,May 25 @ 6:27am ,"OMG\\xef\\xbc\\x81 Game update is coming, I can\\\'t wait to try again to see if the game crash has been resolved!!!! I hope the good news is waiting for me!"
31,crash,#6,Jun 26 @ 9:35am ,"@murgh, thanks for tip but unfortunately it doesn\\\'t work for me - when I launch it from Steam it says there is no launcher executable and when I launch it directly from EXE file I got crash to desktop. I don\\\'t know why but game was working before Paradox, now I can play only their version or none."
32,crash,saipothermia,Jun 26 @ 10:25am ,"Alright! I was wondering why the game crashes when I deploy modded rooms. So I unsubscribed from ""The Greater Reform"" mod, too bad I liked that mod so much. I\\\'ll subscribe again and see if the game still crashes. Guess I\\\'ll have to redo my whole prison\\\'s design. /sighAnyway, thank you for this update. I hope you add more features and more micro-management."
33,crash, 0,Jul 13 @ 5:26am,crash at swat campaign mission
34,crash,#5,Mydrinn,"well, Game still crashes when changing resolution from auto to 1080p in safemode and no mods at all"
35,crash,91.PzG| Blaulicht,Jul 12 @ 8:46am ,"03. 2020The Multiplayer is available for more than 2 years and it still runs unstable, has a lot of bugs and the connection between 2 players is not safe or stabil. As a developer you have the responsibility to fix existing problems first, before further DLCs are released which are also overflowing with bugs. The game just get worse than better, pity! No matter whether Alpha or BetaYour worked on DLC\\xc2\\xb4s not an basic\\xc2\\xb4s.07.2020Lots of bugs around the multiplayer .... crash when connecting, disconnection after irregular time, disconnection after buying country extensions, high ping kick, despite a very good internet connection ... and much more. Please fix it"
36,crash,Jul 13 @ 5:26am,crash at swat campaign mission,I don\\\'t know why but with my old laptop I can do the first and second campaign mission with no lag etc. But on third mission my game always crash a bit after I enter the first cell block. That doesn\\\'t really makes me mad but that could be great if i could resolve this :)Edit : After another try it works perfectly :p
37,crash,Prisoner transfer event not working, 2,Game crashes every couple of minutes
38,crash,kaj.giniewski,Jul 7 @ 4:23am,Applying mods freezes/crashes the game
39,crash,cvq07,Jul 5 @ 5:06pm,game keeps crashing after few minutes
40,crash,Aug 26 @ 10:21am,Crashes,Is anyone elses game just refusing to load and crashing everytime
41,crash,[FIN]Esos,Aug 27 @ 4:55am ,My game crash in safe mode also. In legacy and safemode i get steam error 51. In normal i get steam application error 3:0000065432
42,crash,Fifnaril,Aug 27 @ 6:54am ,"Originally posted by Furiousxcobra:Is anyone elses game just refusing to load and crashing everytime Hello!We just released a new patch today! If you still having trouble with the game crashing I would appreciate it if you could head over to our  Forum [forum.paradoxplaza.com] and upload those files. C:\\\\Users\\\\[USERNAME]\\\\AppData\\\\Local\\\\Introversion\\\\Prison Architect -> There is a file called ""debug.txt""and\\\\SteamLibrary\\\\steamapps\\\\common\\\\Prison Architect -> there are crash dump files in this format: ""Crash_2020_7_8_15_55_17.dmp""This way we can easier identify what is causing the game to crash! Thank you for the feedback!"
43,crash,"Originally posted by Furiousxcobra:Is anyone elses game just refusing to load and crashing everytime Hello!We just released a new patch today! If you still having trouble with the game crashing I would appreciate it if you could head over to our  Forum [forum.paradoxplaza.com] and upload those files. C:\\\\Users\\\\[USERNAME]\\\\AppData\\\\Local\\\\Introversion\\\\Prison Architect -> There is a file called ""debug.txt""and\\\\SteamLibrary\\\\steamapps\\\\common\\\\Prison Architect -> there are crash dump files in this format: ""Crash_2020_7_8_15_55_17.dmp""This way we can easier identify what is causing the game to crash! Thank you for the feedback!",Originally posted by Furiousxcobra:,"I haven\\\'t had crashing now, so thank you for fixing that!"
44,crash, 16,Aug 22 @ 9:52am,"Freeze, crash, freeze, crash"
45,crash,Aug 26 @ 11:42am,xbox one,has anyone been playing or played it on xbox one or playstaion? get tired of the game crashing and not working that i started playing it on my xbox one today. the only bad thing is i spend 12 days build my prison and money on it on pc and prolly have to buy it for xbox one. might see if i can dlc money back so i can buy it on there. if it work a whole lot better
46,crash,The Saltman!,"Sep 26, 2019 @ 11:43am ","Client opens on monitor 1.  I press play game.  Game opens in a small window on monitor 2.  Bring window to monitor 1, try to set resolution to monitor 1\\\'s resolution.  Game crashes.  Rinse and repeat for 10 minutes.  Finally I notice the window is set to monitor 1, even though it opens in monitor 2.  Change settings to monitor 2.  Game fullscreens on monitor 1.  Settings don\\\'t save, have to go through this process every time I play.  Please fix."
47,crash,Jackoco,"Jun 23, 2019 @ 9:09am ",Fix the game crashing when lots of prisoners riot or tazers are shot also WE DON\\\'T WANT PAID DLCS LISTEN TO THE COMMUNITY
48,crash,SnowStorm,"Jun 27, 2019 @ 7:39am ","Thanks for the update, I hope you can find a fix for the constant crashing, it makes the game unplayable"
49,crash,DaBuilder03,"Sep 18, 2019 @ 10:18pm ",for some reason it keeps crashing
50,crash,Jun 29 @ 11:16am,"Freeze, crash, freeze, crash","Hello,Despite the changes, the game continues to repeat the same action:- I launch my backup;- The game takes about a minute;- Then it freeze, crash, block my computer;- So I have to launch the task manager to make it jump;- And so I still can\\\'t play.Do those who previously had this problem still have it?Do I have to sell my prison (in mode I integrate prisoners and I save every second to hope to reach 50 and be able to FINALLY play)?Or do I still have to wait again, because the patch concerning this problem has not passed?I specify that I play WITHOUT mod, in the French version.(And that being French, I clearly do not have the faith to rummage with my little page ""google translation"" all the comments arisen from nowhere and everywhere).Have a nice day,Strength and courage in the face of bugs, do not explode your keyboard too much <3"
51,crash,        ,Jun 29 @ 11:22am ,"Currently, I am trying to resell my prison.The game crashes in less than an hour (in game), with maximum speed.9 hours left before my new prisoners arrive ...Or approximately 25 freeze / crash / restart before you can finally test this possibility."
52,crash,Stone,Jun 29 @ 2:10pm ,"I can\\\'t get any of my prisons to load with out freezing and or crashing. My latest issue is two big build projects I started on the West side of the prison.. constant freezing, what I\\\'m trying to do is cancel the tasks which is what i believe the problem is. However when I start cancelling tasks the game will crash. I don\\\'t even have any prisoners in here yet. I\\\'ve had prisons with over 1000 prisoners plus staff with no issues."
53,crash,Funnyfuture,Jun 30 @ 2:25am ,"For me, the game crash at exact time every time I load the save. Tried removed all staff, removed all room, change all zone to share zone. Still unable to find the solution."
54,crash,>99%,Jun 30 @ 8:18pm ,"Freeze and crash confirmed.  No amount of tinkering with graphics settings or troubleshooting procedures seems to solve this.  It\\\'s something wrong with the game.Don\\\'t buy until they sort this, it isn\\\'t playable.  Fair warning."
55,crash,blstachura_2012,Jul 2 @ 3:57am ,"So why is everyone crashing? My game has yet to crash. Though, it does start lagging when having 200+ staff and 250+ prisoners and loads of trees and logs on the map with max speed. "
56,crash,#7,Jul 3 @ 1:37am ,"Personally, I have about 20 employees and 10 prisoners ... And it\\\'s a complete crash. Always the same movement. I am slowly trying to get 50 prisoners to resell my prison and see if my new prison crashes as much: /"
57,crash,#9,Jul 14 @ 11:50am ,"No changes since the patch for me. My prison always causes freeze then crash, blocks my computer, forces me to go through the task manager ... Could it be possible, at some point, to resolve THIS \\xe2\\x99\\xa5\\xe2\\x99\\xa5\\xe2\\x99\\xa5\\xe2\\x99\\xa5\\xe2\\x99\\xa5\\xe2\\x99\\xa5\\xe2\\x99\\xa5 CONCERN. No because it\\\'s cute people who have canteens a little bug but we just can\\\'t play."
58,crash,Calloused,Jul 15 @ 12:53am ,"Since the patch, every time I try to load a save it crashes. Crashes on my prison and campaign saves, both auto and manual, so right now I\\\'m restricted to either doing everything in a single session or nothing. I am currently also relying on saves to clear my ""to do"" list as that doesn\\\'t clear, unless I load a save which I now cant do."
59,crash, [developer],Jul 15 @ 6:10am ,"Originally posted by Nayneko:Hello,Despite the changes, the game continues to repeat the same action:- I launch my backup;- The game takes about a minute;- Then it freeze, crash, block my computer;- So I have to launch the task manager to make it jump;- And so I still can\\\'t play.Do those who previously had this problem still have it?Do I have to sell my prison (in mode I integrate prisoners and I save every second to hope to reach 50 and be able to FINALLY play)?Or do I still have to wait again, because the patch concerning this problem has not passed?I specify that I play WITHOUT mod, in the French version.(And that being French, I clearly do not have the faith to rummage with my little page ""google translation"" all the comments arisen from nowhere and everywhere).Have a nice day,Strength and courage in the face of bugs, do not explode your keyboard too much <3 Hey Nayneko,Can you please provide us with your crash logs? Having them will help us understand what is causing the issues you are experiencing. You can find the files we need in the following folders:1) debug.txtC:\\\\Users\\\\[USERNAME]\\\\AppData\\\\Local\\\\Introversion\\\\Prison Architect 2) Crash dump files with the timestamp of your crashes (they are named ""Crash_2020_MM_DD_HH_MM_SS"")\\\\SteamLibrary\\\\steamapps\\\\common\\\\Prison ArchitectIn case you need a place to upload the files, you can make a post in the Paradox Forums with the files attached:https://forum.paradoxplaza.com/forum/forums/prison-architect.1030/Thanks!"
60,crash,"I can\\\'t get any of my prisons to load with out freezing and or crashing. My latest issue is two big build projects I started on the West side of the prison.. constant freezing, what I\\\'m trying to do is cancel the tasks which is what i believe the problem is. However when I start cancelling tasks the game will crash. I don\\\'t even have any prisoners in here yet. I\\\'ve had prisons with over 1000 prisoners plus staff with no issues.","For me, the game crash at exact time every time I load the save. Tried removed all staff, removed all room, change all zone to share zone. Still unable to find the solution.","Has anyone tried to resell their prison to create a new one?I hesitate to wait 25 crashes to try to do it, I was so excited by this DLC: /"
61,crash,George W Kush,Aug 17 @ 11:19am,Do tasers still crash the game?
62,crash,Questionable,Jul 1 @ 12:44pm,Saved game loads and then crashes please Fix
63,crash,Jul 4 @ 8:23pm,Crash From Scanners,I\\\'m getting crashes when the new scanners are being used.  Its not every time but it is frequent.
64,crash,Jul 5 @ 5:06pm,game keeps crashing after few minutes,"Hi,first my prison was working fine for the first few hours but now the game keeps crashing.the_rock_1.02 pc steam compiled 18:27:02, Jul  1 2020Steam Breakpad Build Id: 10200Loading Preferences from C:\\\\Users"
65,crash,                Showing 1-2 of 2 comments            ,"I am having the same issue, it looks like the AI can\\\'t keep up with all the work the workers need to do, and I dont even have a prisoner in my game yet. I am just building.","Originally posted by larrymccurdy:Originally posted by Ferengi:Game is unplayable. Crashes every time I load into a game. I have never had issues with this game before, and I see others mentioning this problem. Hopefully whatever they did to the game gets resolved. Would really like to play again HI i got the same problem mines have crashed 3 times i did open a support ticket and andrew got back to me by email i sent him my pa file and my crash file so hope they can fix this problem soon cause im not happy right now it did start after the last update though. You\\\'re lucky you got a reply, I havent gotten anything. I don\\\'t play right now, cause it makes no sense to with the massive lag. I dont think the game can keep up with the demands.Some workers just leave a building unfinished, only to come back later to try and finish it :(."
66,crash,GOLDIEHYX,"Mar 30, 2016 @ 6:05am ",why is my game crashes every half hour
67,crash,iendarie,"Mar 30, 2016 @ 6:48am ","Yeah why does my computer randomly crash if i leave your game for 30mins and go do something else? That happens to me also. I have taken to placeing a fan near my video card and I have had mixed results. The strangest thing is I think one of the prisoners has been left or escaped inside my video card. I hear the sounds of a lost soul who has only known incarceration in their lives. -add gardens-add greenhouses -add indoor plants -add ability to make level one - level two - and level three prisons? -add dig basements we got tunnels now we need basements. -officer mode  ( wear you become the cop ) like a escape mode but your job is guard and you get promotions.. -add rank system for guards and staff so we can upgrade their clearence for certain doors in certain areas. - add Keep it up great game into your brains, and thanks!"
68,crash,Jul 1 @ 12:44pm,Saved game loads and then crashes please Fix,When i load a saved game the games loads it and then crashes after a few minutes.
69,crash,Jul 1 @ 9:01pm,The guards doesn\\xc2\\xb4t move,"In the ultimate DLC (I don\\xc2\\xb4t have it) became several issues besides thee tittle one. In first place, It came an event in my prison, that one with receiving more prisoners from another prison, the problem is that most of the half of my guards stay with the action ""take prisoner to cell"", but they doesn\\xc2\\xb4t move, just stay there, with the prsoners without moving. And if I despite the bugged guards, the new ones came with the same issue, or, they move the prisoner but stay in their cell for ever.The second issue is that the cabinets of the visitation are crush, the prisoners go to the cabinet, take their time with their family, and then pass the cabinet, pass the wall that separetes the visitors from the prisoners, but they pass it with the cuffs on. This problem, added with the first on, just crash all my prison,Please, I need help."
70,crash,Aug 16 @ 12:47pm,Game keeps Crashing Pls help or the Pc lives on the street,"Tried Verifying, unloading all mods, singling out mods, running vanilla, uninstalling and reinstalling, cancelling all jobs ingame (Builds, Blueprints, ect)Seems to insta crash no warning about 8.5 minutes into load up of map on an island and noticed boats randomly kill my insane prisoners tooMods:Slick MenuBetter Clock Plus skip timeCCTV ArrowMoney Laundering (the normal one) < had problems prevAny ideas Chaps?"
71,crash,                Showing 1-4 of 4 comments            ,"Turn off all modsstart a new game (NON island.  Just normal, small size map with default choices).When you start, SAVE immediately.  Run game for about 20 minutes (if you can) to see if it works.","Originally posted by Papa Dev:Tried Verifying, unloading all mods, singling out mods, running vanilla, uninstalling and reinstalling, cancelling all jobs ingame (Builds, Blueprints, ect)Seems to insta crash no warning about 8.5 minutes into load up of map on an island and noticed boats randomly kill my insane prisoners tooMods:Slick MenuBetter Clock Plus skip timeCCTV ArrowMoney Laundering (the normal one) < had problems prevAny ideas Chaps? Hi!We would appreciate it if you could upload the save file to our  Forum [forum.paradoxplaza.com] so we can take a closer look at what can be causing the crashes. Thank you so much for the feedback!"
72,crash,Aug 14 @ 11:50am,Do tasers still crash the game?,I haven\\\'t played in a long time because of the tasers crashing the game every 5 seconds. Has this been fixed?
73,crash,Sheireen,Aug 17 @ 11:19am ,They dont crash the game
74,crash,            ,                Showing 1-2 of 2 comments            ,"Originally posted by joshgreen - san:I haven\\\'t played in a long time because of the tasers crashing the game every 5 seconds. Has this been fixed? Hi!If this still causing your game to crash we would appreciate it if you went to our  Forum [forum.paradoxplaza.com] and uploaded these files so we can see what is causing the crashes. C:\\\\Users\\\\[USERNAME]\\\\AppData\\\\Local\\\\Introversion\\\\Prison Architect -> There is a file called ""debug.txt""and\\\\SteamLibrary\\\\steamapps\\\\common\\\\Prison Architect -> there are crash dump files in this format: ""Crash_2020_7_8_15_55_17.dmp""We would also need the save file of the prison in which the issue occurs."
75,crash,Jan 23 @ 1:16am,The Sneezer 1.02 Patch,"Hello Wardens!The delivery truck just arrived with a new patch addressing some of the issues that were discovered! We appreciate your continued support and feedback.Changelog:Criminally Insane inmates or associated prisoner traits will no longer spawn if the \\xe2\\x80\\x9cPsych Ward: Warden\\xe2\\x80\\x99s Edition\\xe2\\x80\\x9d Expansion is not installed.Female prisoners with babies should no longer become criminally insane. This is also fixed in existing savegames.Players can cancel cloned rooms and get a refund for the item(s) canceled depending on the progress.Fixed prisoners\\xe2\\x80\\x99 hands and some carried items being displayed incorrectly when crossing bridges.Fixed some crashing issues.Fixed localization errors.Fixed benches incorrectly attaching to walls and breaking alignment with tables.Fixed an issue with some rotations of Guard Pavilion (Corner).Fixed the prisoner count being displayed incorrectly in Reports.Fixed room quality stating some prisoners deserve higher Cell quality than 10.Fixed prisoners not always being assigned a cell in sectors other than shared ones.Fixed issues with the game being forced into a windowed state after loading a savegame on Mac OSX.Fixed the \\xe2\\x80\\x9cPrison Danger\\xe2\\x80\\x9d statistic calculation including dead prisoners.Fixed an issue where Criminally Insane Inmates were being unintentionally blocked from Chapel and Canteen rooms, even when said areas were flagged as ""Insane Only"" zones in Deployment.Fixed an issue where the planning aspects of the ""Conviction"" campaign story were not compatible with the new Planning Mode features.Added ability for Modders: You can now turn off shadows using \\xe2\\x80\\x9cSpecialRestriction NoShadow\\xe2\\x80\\x9d.Known Issues:MAC/Linux: Changing the language during gameplay can lead to all objects turning into black squares. Restarting your game will fix this issue.MAC: There is a chance that the plot options \\xe2\\x80\\x9cSnowbound Plot\\xe2\\x80\\x9d, \\xe2\\x80\\x9cJungle Plot\\xe2\\x80\\x9d, \\xe2\\x80\\x9cDesert Plot\\xe2\\x80\\x9d and \\xe2\\x80\\x9cLunar Plot\\xe2\\x80\\x9d will not get applied when starting a new game."
76,crash,ight.phonix,"May 30, 2014 @ 4:59am ","I think this is a great idea and it will make the game run smoothly. For those who say that it will take a long time to resolve those bugs (3 1/2 years ) I think you are wrong. As I see it there are a lot of bugs duplicates or bugs that if they are fixed resolve multiple problems. Also I see there are lots of ""bugs"" that don\\\'t make any sense. For example ""Remove electrical chair from the game"" and this I think is a feature removal and not a bug. Also for those that say this is a big mess I think this was improved a lot over every alpha. I have played released games that are more buggy and prone to crashes."
77,crash,PROTAZ,Jun 20 @ 4:57am,Sold my Prison and it crashed now what?
